"LOCATION","Country","CRITERIA","Classification criteria","CUR","Measure","IND","Industry","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FRA","France","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2007","2007","USD","US Dollar","0","Units",,,27850484039,,
"FRA","France","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2008","2008","USD","US Dollar","0","Units",,,29211879149,,
"FRA","France","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2009","2009","USD","US Dollar","0","Units",,,30622218219,,
"FRA","France","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2010","2010","USD","US Dollar","0","Units",,,32124446864,,
"FRA","France","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2011","2011","USD","US Dollar","0","Units",,,34290381593,,
"FRA","France","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2012","2012","USD","US Dollar","0","Units",,,35581406829,,
"FRA","France","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2013","2013","USD","US Dollar","0","Units",,,37688592366,"E","Estimated value"
"FRA","France","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2014","2014","USD","US Dollar","0","Units",,,38551276282,,
"FRA","France","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2015","2015","USD","US Dollar","0","Units",,,39268701029,"E","Estimated value"
"FRA","France","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2016","2016","USD","US Dollar","0","Units",,,41440754334,,
"FRA","France","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2017","2017","USD","US Dollar","0","Units",,,42895120810,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","1999","1999","USD","US Dollar","0","Units",,,35239388415,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2000","2000","USD","US Dollar","0","Units",,,37743395295,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2001","2001","USD","US Dollar","0","Units",,,39067926475,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2002","2002","USD","US Dollar","0","Units",,,40459569331,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2003","2003","USD","US Dollar","0","Units",,,42446080291,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2004","2004","USD","US Dollar","0","Units",,,43840280689,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2005","2005","USD","US Dollar","0","Units",,,44287950500,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2006","2006","USD","US Dollar","0","Units",,,48547952314,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2007","2007","USD","US Dollar","0","Units",,,51395968131,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2008","2008","USD","US Dollar","0","Units",,,56159132111,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2009","2009","USD","US Dollar","0","Units",,,55818820731,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2010","2010","USD","US Dollar","0","Units",,,58293978842,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2011","2011","USD","US Dollar","0","Units",,,64758036879,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2012","2012","USD","US Dollar","0","Units",,,68326961144,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2013","2013","USD","US Dollar","0","Units",,,69136939595,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2014","2014","USD","US Dollar","0","Units",,,74123788710,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2015","2015","USD","US Dollar","0","Units",,,78332194285,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2016","2016","USD","US Dollar","0","Units",,,83477725243,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2017","2017","USD","US Dollar","0","Units",,,92358885598,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2018","2018","USD","US Dollar","0","Units",,,98037298087,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2019","2019","USD","US Dollar","0","Units",,,100959424076,,
"ITA","Italy","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","1999","1999","USD","US Dollar","0","Units",,,7048197388,,
"ITA","Italy","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2000","2000","USD","US Dollar","0","Units",,,7746836820,,
"ITA","Italy","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2001","2001","USD","US Dollar","0","Units",,,8157706198,,
"ITA","Italy","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2002","2002","USD","US Dollar","0","Units",,,8569027356,,
"ITA","Italy","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2003","2003","USD","US Dollar","0","Units",,,8373489338,,
"ITA","Italy","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2004","2004","USD","US Dollar","0","Units",,,8561230298,,
"ITA","Italy","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2005","2005","USD","US Dollar","0","Units",,,9186577727,,
"ITA","Italy","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2006","2006","USD","US Dollar","0","Units",,,9977984242,,
"ITA","Italy","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2007","2007","USD","US Dollar","0","Units",,,11681397589,,
"ITA","Italy","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2008","2008","USD","US Dollar","0","Units",,,12981210764,,
"ITA","Italy","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2009","2009","USD","US Dollar","0","Units",,,13273436105,,
"ITA","Italy","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2010","2010","USD","US Dollar","0","Units",,,13683624143,,
"ITA","Italy","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2011","2011","USD","US Dollar","0","Units",,,14268466424,,
"ITA","Italy","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2012","2012","USD","US Dollar","0","Units",,,14854535306,,
"ITA","Italy","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2013","2013","USD","US Dollar","0","Units",,,15570880889,,
"ITA","Italy","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2014","2014","USD","US Dollar","0","Units",,,16688811724,,
"ITA","Italy","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2015","2015","USD","US Dollar","0","Units",,,17444852304,,
"ITA","Italy","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2016","2016","USD","US Dollar","0","Units",,,20110372118,,
"ITA","Italy","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2017","2017","USD","US Dollar","0","Units",,,21510624845,,
"ITA","Italy","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2018","2018","USD","US Dollar","0","Units",,,23390476243,,
"ITA","Italy","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2019","2019","USD","US Dollar","0","Units",,,24473843547,,
"JPN","Japan","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","1999","1999","USD","US Dollar","0","Units",,,65603804445,,
"JPN","Japan","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2000","2000","USD","US Dollar","0","Units",,,70205687233,,
"JPN","Japan","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2001","2001","USD","US Dollar","0","Units",,,76522764956,,
"JPN","Japan","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2002","2002","USD","US Dollar","0","Units",,,80520981078,,
"JPN","Japan","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2003","2003","USD","US Dollar","0","Units",,,84245711335,,
"JPN","Japan","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2004","2004","USD","US Dollar","0","Units",,,88297309697,,
"JPN","Japan","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2005","2005","USD","US Dollar","0","Units",,,98384003697,,
"JPN","Japan","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2006","2006","USD","US Dollar","0","Units",,,107091305216,,
"JPN","Japan","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2007","2007","USD","US Dollar","0","Units",,,114947577459,,
"JPN","Japan","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2008","2008","USD","US Dollar","0","Units",,,116687774740,,
"JPN","Japan","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2009","2009","USD","US Dollar","0","Units",,,104009201240,,
"JPN","Japan","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2010","2010","USD","US Dollar","0","Units",,,107511234770,,
"JPN","Japan","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2011","2011","USD","US Dollar","0","Units",,,114204644538,,
"JPN","Japan","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2012","2012","USD","US Dollar","0","Units",,,116716326646,,
"JPN","Japan","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2013","2013","USD","US Dollar","0","Units",,,125287464405,,
"JPN","Japan","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2014","2014","USD","US Dollar","0","Units",,,131839750613,,
"JPN","Japan","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2015","2015","USD","US Dollar","0","Units",,,132268478597,,
"JPN","Japan","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2016","2016","USD","US Dollar","0","Units",,,126216394227,,
"JPN","Japan","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2017","2017","USD","US Dollar","0","Units",,,131290660605,,
"JPN","Japan","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2018","2018","USD","US Dollar","0","Units",,,136634046795,,
"JPN","Japan","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2019","2019","USD","US Dollar","0","Units",,,136253895444,,
"JPN","Japan","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2020","2020","USD","US Dollar","0","Units",,,136910038950,,
"KOR","Korea","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","1999","1999","USD","US Dollar","0","Units",,,11274653942,,
"KOR","Korea","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2000","2000","USD","US Dollar","0","Units",,,13714257585,,
"KOR","Korea","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2001","2001","USD","US Dollar","0","Units",,,16219893020,,
"KOR","Korea","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2002","2002","USD","US Dollar","0","Units",,,16856104849,,
"KOR","Korea","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2003","2003","USD","US Dollar","0","Units",,,18336633722,,
"KOR","Korea","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2004","2004","USD","US Dollar","0","Units",,,21416337473,,
"KOR","Korea","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2005","2005","USD","US Dollar","0","Units",,,23531207002,,
"KOR","Korea","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2006","2006","USD","US Dollar","0","Units",,,27358634891,,
"KOR","Korea","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2007","2007","USD","US Dollar","0","Units",,,30989925384,,
"KOR","Korea","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2008","2008","USD","US Dollar","0","Units",,,33090845056,,
"KOR","Korea","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2009","2009","USD","US Dollar","0","Units",,,33999457166,,
"KOR","Korea","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2010","2010","USD","US Dollar","0","Units",,,39005425940,,
"KOR","Korea","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2011","2011","USD","US Dollar","0","Units",,,44680469520,,
"KOR","Korea","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2012","2012","USD","US Dollar","0","Units",,,50559795599,,
"KOR","Korea","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2013","2013","USD","US Dollar","0","Units",,,53573710231,,
"KOR","Korea","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2014","2014","USD","US Dollar","0","Units",,,57180544660,,
"KOR","Korea","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2015","2015","USD","US Dollar","0","Units",,,59635464970,,
"KOR","Korea","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2016","2016","USD","US Dollar","0","Units",,,62822383231,,
"KOR","Korea","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2017","2017","USD","US Dollar","0","Units",,,71695703587,,
"KOR","Korea","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2018","2018","USD","US Dollar","0","Units",,,80520219237,,
"KOR","Korea","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2019","2019","USD","US Dollar","0","Units",,,82701982650,,
"KOR","Korea","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2020","2020","USD","US Dollar","0","Units",,,89254594367,,
"GBR","United Kingdom","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2007","2007","USD","US Dollar","0","Units",,,22038697154,,
"GBR","United Kingdom","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2008","2008","USD","US Dollar","0","Units",,,22653915110,,
"GBR","United Kingdom","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2009","2009","USD","US Dollar","0","Units",,,22003352551,,
"GBR","United Kingdom","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2010","2010","USD","US Dollar","0","Units",,,22880113790,,
"GBR","United Kingdom","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2011","2011","USD","US Dollar","0","Units",,,24655689860,,
"GBR","United Kingdom","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2012","2012","USD","US Dollar","0","Units",,,24381235695,,
"GBR","United Kingdom","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2013","2013","USD","US Dollar","0","Units",,,26534129783,,
"GBR","United Kingdom","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2014","2014","USD","US Dollar","0","Units",,,28541893183,,
"GBR","United Kingdom","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2015","2015","USD","US Dollar","0","Units",,,30349068741,,
"GBR","United Kingdom","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2016","2016","USD","US Dollar","0","Units",,,32790519453,,
"GBR","United Kingdom","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2017","2017","USD","US Dollar","0","Units",,,34573645448,,
"GBR","United Kingdom","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2018","2018","USD","US Dollar","0","Units",,,36535599807,,
"GBR","United Kingdom","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2019","2019","USD","US Dollar","0","Units",,,37712370180,,
"USA","United States","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","1999","1999","USD","US Dollar","0","Units",,,184129000000,"E","Estimated value"
"USA","United States","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2000","2000","USD","US Dollar","0","Units",,,201962000000,"E","Estimated value"
"USA","United States","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2001","2001","USD","US Dollar","0","Units",,,202017000000,"E","Estimated value"
"USA","United States","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2002","2002","USD","US Dollar","0","Units",,,193868000000,,
"USA","United States","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2003","2003","USD","US Dollar","0","Units",,,200724000000,,
"USA","United States","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2004","2004","USD","US Dollar","0","Units",,,208301000000,,
"USA","United States","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2005","2005","USD","US Dollar","0","Units",,,226159000000,,
"USA","United States","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2006","2006","USD","US Dollar","0","Units",,,247669000000,,
"USA","United States","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2007","2007","USD","US Dollar","0","Units",,,269267000000,,
"USA","United States","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2008","2008","USD","US Dollar","0","Units",,,290680000000,,
"USA","United States","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2009","2009","USD","US Dollar","0","Units",,,282393000000,,
"USA","United States","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2010","2010","USD","US Dollar","0","Units",,,278977000000,,
"USA","United States","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2011","2011","USD","US Dollar","0","Units",,,294093000000,,
"USA","United States","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2012","2012","USD","US Dollar","0","Units",,,302250000000,,
"USA","United States","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2013","2013","USD","US Dollar","0","Units",,,322528000000,,
"USA","United States","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2014","2014","USD","US Dollar","0","Units",,,340728000000,,
"USA","United States","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2015","2015","USD","US Dollar","0","Units",,,367312000000,,
"USA","United States","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2016","2016","USD","US Dollar","0","Units",,,385492000000,,
"USA","United States","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2017","2017","USD","US Dollar","0","Units",,,410910000000,,
"USA","United States","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2018","2018","USD","US Dollar","0","Units",,,453334000000,,
"USA","United States","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2019","2019","USD","US Dollar","0","Units",,,503201000000,,
"CHN","China (People's Republic of)","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2000","2000","USD","US Dollar","0","Units",,,19726514568,,
"CHN","China (People's Republic of)","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2001","2001","USD","US Dollar","0","Units",,,23188652107,,
"CHN","China (People's Republic of)","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2002","2002","USD","US Dollar","0","Units",,,29271138964,,
"CHN","China (People's Republic of)","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2003","2003","USD","US Dollar","0","Units",,,35459317745,,
"CHN","China (People's Republic of)","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2004","2004","USD","US Dollar","0","Units",,,46585595900,,
"CHN","China (People's Republic of)","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2005","2005","USD","US Dollar","0","Units",,,58904901626,,
"CHN","China (People's Republic of)","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2006","2006","USD","US Dollar","0","Units",,,74510961815,,
"CHN","China (People's Republic of)","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2007","2007","USD","US Dollar","0","Units",,,89233988603,,
"CHN","China (People's Republic of)","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2008","2008","USD","US Dollar","0","Units",,,106381269113,,
"CHN","China (People's Republic of)","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2009","2009","USD","US Dollar","0","Units",,,134791817160,,
"CHN","China (People's Republic of)","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2010","2010","USD","US Dollar","0","Units",,,155772658382,,
"CHN","China (People's Republic of)","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2011","2011","USD","US Dollar","0","Units",,,186675950724,,
"CHN","China (People's Republic of)","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2012","2012","USD","US Dollar","0","Units",,,220227791201,,
"CHN","China (People's Republic of)","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2013","2013","USD","US Dollar","0","Units",,,247727217505,,
"CHN","China (People's Republic of)","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2014","2014","USD","US Dollar","0","Units",,,267651970081,,
"CHN","China (People's Republic of)","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2015","2015","USD","US Dollar","0","Units",,,281121178668,,
"CHN","China (People's Republic of)","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2016","2016","USD","US Dollar","0","Units",,,304448605527,,
"CHN","China (People's Republic of)","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2017","2017","USD","US Dollar","0","Units",,,326502023303,,
"CHN","China (People's Republic of)","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2018","2018","USD","US Dollar","0","Units",,,360203619021,,
"CHN","China (People's Republic of)","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2019","2019","USD","US Dollar","0","Units",,,402101321807,,
"CHN","China (People's Republic of)","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2020","2020","USD","US Dollar","0","Units",,,446883888148,,
